1	als	as
2	I	I
3	zijn	his
4	dat	that
5	hij	he
6	was	was
7	voor	for
8	op	on
9	zijn	are
10	met	with
11	ze	they
12	zijn	be
13	bij	at
14	een	one
15	hebben	have
16	deze	this
17	van	from
18	door	by
19	heet	hot
20	woord	word
21	maar	but
22	wat	what
23	sommige	some
24	is	is
25	het	it
26	u	you
27	of	or
28	had	had
29	de	the
30	van	of
31	aan	to
32	en	and
33	een	a
34	in	in
35	we	we
36	kan	can
37	uit	out
38	andere	other
39	waren	were
40	die	which
41	doen	do
42	hun	their
43	tijd	time
44	indien	if
45	zal	will
46	hoe	how
47	zei	said
48	een	an
49	elk	each
50	vertellen	tell
51	doet	does
52	set	set
53	drie	three
54	willen	want
55	lucht	air
56	goed	well
57	ook	also
58	spelen	play
59	klein	small
60	end	end
61	zetten	put
62	thuis	home
63	lezen	read
64	de hand	hand
65	poort	port
66	grote	large
67	spell	spell
68	toevoegen	add
69	zelfs	even
70	land	land
71	hier	here
72	moet	must
73	grote	big
74	hoog	high
75	dergelijke	such
76	volgen	follow
77	act	act
78	waarom	why
79	vragen	ask
80	mannen	men
81	verandering	change
82	ging	went
83	licht	light
84	soort	kind
85	uitgeschakeld	off
86	nodig hebben	need
87	huis	house
88	afbeelding	picture
89	proberen	try
90	ons	us
91	weer	again
92	dier	animal
93	punt	point
94	moeder	mother
95	wereld	world
96	dichtbij	near
97	bouwen	build
98	zelf	self
99	aarde	earth
100	vader	father
101	een	any
102	nieuwe	new
103	werk	work
104	deel	part
105	nemen	take
106	krijgen	get
107	plaats	place
108	gemaakt	made
109	wonen	live
110	waar	where
111	na	after
112	terug	back
113	weinig	little
114	alleen	only
115	ronde	round
116	man	man
117	jaar	year
118	kwam	came
119	Show	show
120	elke	every
121	goed	good
122	mij	me
123	geven	give
124	onze	our
125	onder	under
126	naam	name
127	zeer	very
128	door	through
129	gewoon	just
130	vorm	form
131	zin	sentence
132	grote	great
133	denken	think
134	zeggen	say
135	helpen	help
136	laag	low
137	lijn	line
138	verschillen	differ
139	beurt	turn
140	oorzaak	cause
141	veel	much
142	betekenen	mean
143	voor	before
144	verhuizing	move
145	rechts	right
146	jongen	boy
147	oude	old
148	ook	too
149	hetzelfde	same
150	ze	she
151	alle	all
152	er	there
153	wanneer	when
154	omhoog	up
155	gebruiken	use
156	uw	your
157	manier	way
158	over	about
159	veel	many
160	dan	then
161	hen	them
162	schrijven	write
163	zou	would
164	zoals	like
165	dus	so
166	deze	these
167	haar	her
168	lang	long
169	maken	make
170	ding	thing
171	zien	see
172	hem	him
173	twee	two
174	heeft	has
175	kijken	look
176	meer	more
177	dag	day
178	kon	could
179	gaan	go
180	komen	come
181	deed	did
182	aantal	number
183	klinken	sound
184	geen	no
185	meest	most
186	mensen	people
187	mijn	my
188	meer dan	over
189	weten	know
190	water	water
191	dan	than
192	roep	call
193	eerste	first
194	die	who
195	kan	may
196	naar beneden	down
197	kant	side
198	geweest	been
199	nu	now
200	vinden	find
201	hoofd	head
202	staan	stand
203	eigen	own
204	pagina	page
205	moeten	should
206	land	country
207	gevonden	found
208	antwoord	answer
209	de school	school
210	groeien	grow
211	studie	study
212	nog	still
213	leren	learn
214	planten	plant
215	afdekking	cover
216	voedsel	food
217	zon	sun
218	vier	four
219	tussen	between
220	staat	state
221	houden	keep
222	oog	eye
223	nooit	never
224	laatste	last
225	laten	let
226	gedachte	thought
227	stad	city
228	boom	tree
229	oversteken	cross
230	boerderij	farm
