1	كما	as
2	أنا	I
3	له	his
4	أن	that
5	هو	he
6	كان	was
7	إلى	for
8	في	on
9	هي	are
10	مع	with
11	هم	they
12	يكون	be
13	في	at
14	واحد	one
15	ديك	have
16	هذا	this
17	من	from
18	بواسطة	by
19	حار	hot
20	كلمة	word
21	لكن	but
22	ما	what
23	بعض	some
24	هو	is
25	هو	it
26	أنت	you
27	أو	or
28	كان	had
29	و	the
30	من	of
31	إلى	to
32	و	and
33	و	a
34	في	in
35	نحن	we
36	علبة	can
37	خارج	out
38	البعض	other
39	و	were
40	التي	which
41	القيام	do
42	من	their
43	الوقت	time
44	إذا	if
45	سوف	will
46	كيف	how
47	قال	said
48	و	an
49	كل	each
50	أقول	tell
51	لا	does
52	مجموعة	set
53	ثلاثة	three
54	تريد	want
55	هواء	air
56	جيد	well
57	أيضا	also
58	لعب	play
59	صغير	small
60	نهاية	end
61	وضع	put
62	المنزل	home
63	قرأ	read
64	يد	hand
65	ميناء	port
66	كبير	large
67	تهجى	spell
68	إضافة	add
69	حتى	even
70	الأرض	land
71	هنا	here
72	يجب	must
73	كبير	big
74	ارتفاع	high
75	مثل	such
76	تابع	follow
77	فعل	act
78	لماذا	why
79	تطلب	ask
80	الرجال	men
81	تغيير	change
82	ذهب	went
83	ضوء	light
84	نوع	kind
85	بعيدا	off
86	تحتاج	need
87	منزل	house
88	صور	picture
89	محاولة	try
90	لنا	us
91	مرة أخرى	again
92	الحيوان	animal
93	نقطة	point
94	أم	mother
95	العالم	world
96	قرب	near
97	بناء	build
98	النفس	self
99	أرض	earth
100	الأب	father
101	أي	any
102	جديدة	new
103	العمل	work
104	جزء	part
105	أخذ	take
106	الحصول على	get
107	مكان	place
108	مصنوع	made
109	حي	live
110	حيث	where
111	بعد	after
112	ظهر	back
113	القليل	little
114	فقط	only
115	جولة	round
116	رجل	man
117	عام	year
118	جاء	came
119	المعرض	show
120	كل	every
121	جيد	good
122	أنا	me
123	منح	give
124	لدينا	our
125	تحت	under
126	اسم	name
127	جدا	very
128	من خلال	through
129	فقط	just
130	شكل	form
131	عقوبة	sentence
132	عظيم	great
133	اعتقد	think
134	قول	say
135	مساعدة	help
136	منخفض	low
137	خط	line
138	اختلف	differ
139	منعطف	turn
140	السبب	cause
141	كثيرا	much
142	متوسط	mean
143	قبل	before
144	خطوة	move
145	الحق	right
146	صبي	boy
147	قديم	old
148	أيضا	too
149	نفسه	same
150	هي	she
151	كل	all
152	هناك	there
153	عندما	when
154	فوق	up
155	استخدام	use
156	ك	your
157	طريق	way
158	حول	about
159	كثير	many
160	ثم	then
161	هم	them
162	إرسال	write
163	أراد	would
164	مثل	like
165	هكذا	so
166	هؤلاء	these
167	لها	her
168	طويل	long
169	جعل	make
170	شيء	thing
171	شاهد	see
172	له	him
173	اثنين	two
174	لديه	has
175	بحث	look
176	أكثر	more
177	يوم	day
