1	como	as
2	I	I
3	seu	his
4	que	that
5	ele	he
6	foi	was
7	para	for
8	em	on
9	são	are
10	com	with
11	eles	they
12	ser	be
13	em	at
14	uma	one
15	tem	have
16	este	this
17	a partir de	from
18	por	by
19	quente	hot
20	palavra	word
21	mas	but
22	o que	what
23	alguns	some
24	é	is
25	ele	it
26	você	you
27	ou	or
28	teve	had
29	o	the
30	de	of
31	a	to
32	e	and
33	uma	a
34	em	in
35	nós	we
36	lata	can
37	fora	out
38	outro	other
39	foram	were
40	que	which
41	fazer	do
42	seu	their
43	tempo	time
44	se	if
45	vontade	will
46	como	how
47	disse	said
48	uma	an
49	cada	each
50	dizer	tell
51	faz	does
52	conjunto	set
53	três	three
54	quer	want
55	ar	air
56	bem	well
57	também	also
58	jogar	play
59	pequeno	small
60	fim	end
61	colocar	put
62	casa	home
63	ler	read
64	mão	hand
65	port	port
66	grande	large
67	soletrar	spell
68	adicionar	add
69	mesmo	even
70	terra	land
71	aqui	here
72	necessário	must
73	grande	big
74	alto	high
75	tais	such
76	siga	follow
77	ato	act
78	por que	why
79	perguntar	ask
80	homens	men
81	mudança	change
82	fui	went
83	luz	light
84	tipo	kind
85	off	off
86	precisa	need
87	casa	house
88	imagem	picture
89	tentar	try
90	nós	us
91	novamente	again
92	animais	animal
93	ponto	point
94	mãe	mother
95	mundo	world
96	perto	near
97	construir	build
98	auto	self
99	terra	earth
100	pai	father
101	qualquer	any
102	novo	new
103	trabalho	work
104	parte	part
105	tomar	take
106	obter	get
107	lugar	place
108	feito	made
109	viver	live
110	onde	where
111	depois	after
112	de volta	back
113	pouco	little
114	apenas	only
115	rodada	round
116	homem	man
117	ano	year
118	veio	came
119	exposição	show
120	cada	every
121	bom	good
122	me	me
123	dar	give
124	nossa	our
125	sob	under
126	nome	name
127	muito	very
128	através	through
129	justo	just
130	forma	form
131	sentença	sentence
132	grande	great
133	acho que	think
134	dizer	say
135	ajudar	help
136	baixo	low
137	linha	line
138	diferir	differ
139	vez	turn
140	causa	cause
141	muito	much
142	significar	mean
143	antes	before
144	mudança	move
145	direito	right
146	menino	boy
147	velho	old
148	também	too
149	mesmo	same
150	ela	she
151	tudo	all
152	lá	there
153	quando	when
154	up	up
155	usar	use
156	seu	your
157	maneira	way
158	sobre	about
159	muitos	many
160	depois	then
161	eles	them
162	escrever	write
163	faria	would
164	como	like
165	assim	so
166	estes	these
167	seu	her
168	longo	long
169	fazer	make
170	coisa	thing
171	veja	see
172	ele	him
173	dois	two
174	tem	has
175	olhar	look
176	mais	more
177	dia	day
178	poderia	could
179	ir	go
180	vir	come
181	fez	did
182	número	number
183	som	sound
184	não	no
185	mais	most
186	pessoas	people
187	meu	my
188	sobre	over
189	sei	know
190	água	water
191	que	than
192	chamada	call
193	primeiro	first
194	que	who
195	pode	may
196	para baixo	down
197	lado	side
198	sido	been
199	agora	now
200	encontrar	find
201	cabeça	head
202	ficar	stand
203	próprio	own
204	página	page
205	deveria	should
206	país	country
207	encontrado	found
208	resposta	answer
209	escola	school
210	crescer	grow
211	estudo	study
212	ainda	still
213	aprender	learn
214	planta	plant
215	cobertura	cover
216	alimentos	food
217	sol	sun
218	quatro	four
219	entre	between
220	estado	state
221	manter	keep
222	olho	eye
223	nunca	never
224	último	last
225	deixar	let
226	pensava	thought
227	cidade	city
228	árvore	tree
229	atravessar	cross
230	fazenda	farm
231	difícil	hard
232	começo	start
233	poder	might
234	história	story
235	serra	saw
236	longe	far
237	mar	sea
238	desenhar	draw
239	esquerda	left
240	tarde	late
241	run	run
242	não	don’t
243	enquanto	while
244	imprensa	press
245	perto	close
246	noite	night
247	reais	real
248	vida	life
249	poucos	few
250	norte	north
251	livro	book
252	carregam	carry
253	tomou	took
254	ciência	science
255	comer	eat
