1	olarak	as
2	ben	I
3	onun	his
4	bu	that
5	diye	he
6	oldu	was
7	için	for
8	üzerinde	on
9	vardır	are
10	ile	with
11	onlar	they
12	olmak	be
13	at	at
14	bir	one
15	var	have
16	Bu	this
17	dan	from
18	tarafından	by
19	sıcak	hot
20	kelime	word
21	ancak	but
22	ne	what
23	bazı	some
24	olduğunu	is
25	o	it
26	sen	you
27	veya	or
28	vardı	had
29		the
30	arasında	of
31	karşı	to
32	ve	and
33	bir	a
34	içinde	in
35	biz	we
36	can	can
37	üzerinden	out
38	diğer	other
39	vardı	were
40	hangi	which
41	do	do
42	onların	their
43	zaman	time
44	eğer	if
45	olacak	will
46	nasıl	how
47	dedi	said
48	bir	an
49	her	each
50	söyle	tell
51	yok	does
52	set	set
53	üç	three
54	istiyorum	want
55	hava	air
56	iyi	well
57	ayrıca	also
58	oynamak	play
59	küçük	small
60	son	end
61	koymak	put
62	ev	home
63	okumak	read
64	el	hand
65	liman	port
66	büyük	large
67	büyü	spell
68	ekleyin	add
69	hatta	even
70	arazi	land
71	burada	here
72	gerekir	must
73	büyük	big
74	yüksek	high
75	böyle	such
76	izleyin	follow
77	hareket	act
78	neden	why
79	sormak	ask
80	erkekler	men
81	değişim	change
82	gitti	went
83	ışık	light
84	tür	kind
85	kapalı	off
86	gerek	need
87	ev	house
88	resim	picture
89	denemek	try
90	bizi	us
91	tekrar	again
92	hayvan	animal
93	nokta	point
94	anne	mother
95	dünya	world
96	yakın	near
97	inşa etmek	build
98	öz	self
99	toprak	earth
100	baba	father
101	herhangi bir	any
102	yeni	new
103	iş	work
104	bölüm	part
105	almak	take
106	olsun	get
107	yer	place
108	yapılan	made
109	canlı	live
110	nerede	where
111	sonra	after
112	geri	back
113	küçük	little
114	sadece	only
115	yuvarlak	round
116	adam	man
117	yıl	year
118	geldi	came
119	gösterisi	show
120	her	every
121	iyi	good
122	bana	me
123	vermek	give
124	bizim	our
125	altında	under
126	adı	name
127	çok	very
128	ile	through
129	sadece	just
130	formu	form
131	cümle	sentence
132	büyük	great
133	düşünmek	think
134	demek	say
135	yardım	help
