1	como	as
2	I	I
3	su	his
4	que	that
5	él	he
6	era	was
7	para	for
8	en	on
9	son	are
10	con	with
11	ellos	they
12	ser	be
13	en	at
14	uno	one
15	tener	have
16	este	this
17	desde	from
18	por	by
19	caliente	hot
20	palabra	word
21	pero	but
22	qué	what
23	algunos	some
24	es	is
25	lo	it
26	usted	you
27	o	or
28	tenido	had
29	la	the
30	de	of
31	a	to
32	y	and
33	un	a
34	en	in
35	nos	we
36	lata	can
37	fuera	out
38	otros	other
39	eran	were
40	que	which
41	hacer	do
42	su	their
43	tiempo	time
44	si	if
45	lo hará	will
46	cómo	how
47	dicho	said
48	un	an
49	cada	each
50	decir	tell
51	hace	does
52	conjunto	set
53	tres	three
54	querer	want
55	aire	air
56	así	well
57	también	also
58	jugar	play
59	pequeño	small
60	fin	end
61	poner	put
62	casa	home
63	leer	read
64	mano	hand
65	puerto	port
66	grande	large
67	deletrear	spell
68	añadir	add
69	incluso	even
70	tierra	land
71	aquí	here
72	debe	must
73	grande	big
74	alto	high
75	tal	such
76	siga	follow
77	acto	act
78	por qué	why
79	preguntar	ask
80	hombres	men
81	cambio	change
82	se fue	went
83	luz	light
84	tipo	kind
85	fuera	off
86	necesitará	need
87	casa	house
88	imagen	picture
89	tratar	try
90	nosotros	us
91	de nuevo	again
92	animal	animal
93	punto	point
94	madre	mother
95	mundo	world
96	cerca	near
97	construir	build
98	auto	self
99	tierra	earth
100	padre	father
101	cualquier	any
102	nuevo	new
103	trabajo	work
104	parte	part
105	tomar	take
106	conseguir	get
107	lugar	place
108	hecho	made
109	vivir	live
110	donde	where
111	después	after
112	espalda	back
113	poco	little
114	sólo	only
115	ronda	round
116	hombre	man
117	años	year
118	vino	came
119	show	show
120	cada	every
121	buena	good
122	me	me
123	dar	give
124	nuestro	our
125	bajo	under
126	nombre	name
127	muy	very
128	a través de	through
129	sólo	just
130	forma	form
131	frase	sentence
132	gran	great
133	pensar	think
134	decir	say
135	ayudar	help
136	bajo	low
137	línea	line
138	ser distinto	differ
139	a su vez,	turn
140	causa	cause
141	mucho	much
142	significará	mean
143	antes	before
144	movimiento	move
145	derecho	right
146	niño	boy
147	viejo	old
148	demasiado	too
149	misma	same
150	ella	she
151	todo	all
152	hay	there
153	cuando	when
154	hasta	up
155	uso	use
156	su	your
157	camino	way
158	acerca	about
159	muchos	many
160	entonces	then
161	ellos	them
162	escribir	write
163	haría	would
164	como	like
165	así	so
166	éstos	these
167	su	her
168	largo	long
169	hacer	make
170	cosa	thing
171	ver	see
172	él	him
173	dos	two
174	tiene	has
175	buscar	look
176	más	more
177	día	day
178	podía	could
179	ir	go
180	venir	come
181	hizo	did
182	número	number
183	sonar	sound
184	no	no
185	más	most
186	personas	people
187	mi	my
188	sobre	over
189	saber	know
190	agua	water
191	que	than
192	llamada	call
193	primero	first
194	que	who
195	puede	may
196	abajo	down
197	lado	side
198	estado	been
199	ahora	now
200	encontrar	find
201	cabeza	head
202	de pie	stand
203	propio	own
204	página	page
205	debería	should
206	país	country
207	encontrado	found
208	respuesta	answer
209	escuela	school
210	crecer	grow
211	estudio	study
212	todavía	still
213	aprender	learn
214	planta	plant
215	cubierta	cover
216	alimentos	food
217	sol	sun
218	cuatro	four
219	entre	between
220	estado	state
221	mantener	keep
222	ojo	eye
223	nunca	never
224	último	last
225	dejar	let
226	pensado	thought
227	ciudad	city
228	árbol	tree
229	cruzar	cross
230	granja	farm
231	duro	hard
232	inicio	start
233	podría	might
234	historia	story
235	sierra	saw
236	ahora	far
237	mar	sea
238	dibujar	draw
239	izquierda	left
240	tarde	late
241	ejecutar	run
242	no	don’t
243	mientras	while
244	prensa	press
245	Cerrar	close
246	noche	night
247	reales	real
248	vida	life
249	pocos	few
250	norte	north
251	libro	book
